card_name,card_id,image_id,image_index,image_url,filename,status
Centur-Ion Primera Primus,8841431,8841431,1,https://images.ygoprodeck.com/images/cards/8841431.jpg,8841431-centur-ion-primera-primus.jpg,downloaded
Centur-Ion Trudea,42493140,42493140,1,https://images.ygoprodeck.com/images/cards/42493140.jpg,42493140-centur-ion-trudea.jpg,downloaded
Centur-Ion True Awakening,77543769,77543769,1,https://images.ygoprodeck.com/images/cards/77543769.jpg,77543769-centur-ion-true-awakening.jpg,downloaded
Ceremonial Token,82340057,82340057,1,https://images.ygoprodeck.com/images/cards/82340057.jpg,82340057-ceremonial-token.jpg,downloaded
Cerulean Sacred Phoenix of Nephthys,24175232,24175232,1,https://images.ygoprodeck.com/images/cards/24175232.jpg,24175232-cerulean-sacred-phoenix-of-nephthys.jpg,downloaded
Ceremonial Bell,20228463,20228463,1,https://images.ygoprodeck.com/images/cards/20228463.jpg,20228463-ceremonial-bell.jpg,downloaded
"Ceruli, Guru of Dark World",7623640,7623640,1,https://images.ygoprodeck.com/images/cards/7623640.jpg,7623640-ceruli-guru-of-dark-world.jpg,downloaded
Cerulean Skyfire,54828837,54828837,1,https://images.ygoprodeck.com/images/cards/54828837.jpg,54828837-cerulean-skyfire.jpg,downloaded
Cestus of Dagla,28106077,28106077,1,https://images.ygoprodeck.com/images/cards/28106077.jpg,28106077-cestus-of-dagla.jpg,downloaded
Chachaka Archer,83021423,83021423,1,https://images.ygoprodeck.com/images/cards/83021423.jpg,83021423-chachaka-archer.jpg,downloaded
Chain Burst,48276469,48276469,1,https://images.ygoprodeck.com/images/cards/48276469.jpg,48276469-chain-burst.jpg,downloaded
Chain Destruction,1248895,1248895,1,https://images.ygoprodeck.com/images/cards/1248895.jpg,1248895-chain-destruction.jpg,downloaded
Chain Detonation,51449743,51449743,1,https://images.ygoprodeck.com/images/cards/51449743.jpg,51449743-chain-detonation.jpg,downloaded
Chain Dispel,3171055,3171055,1,https://images.ygoprodeck.com/images/cards/3171055.jpg,3171055-chain-dispel.jpg,downloaded
Chain Disappearance,57139487,57139487,1,https://images.ygoprodeck.com/images/cards/57139487.jpg,57139487-chain-disappearance.jpg,downloaded
Chain Dog,96930127,96930127,1,https://images.ygoprodeck.com/images/cards/96930127.jpg,96930127-chain-dog.jpg,downloaded
Chain Energy,79323590,79323590,1,https://images.ygoprodeck.com/images/cards/79323590.jpg,79323590-chain-energy.jpg,downloaded
Chain Healing,25050038,25050038,1,https://images.ygoprodeck.com/images/cards/25050038.jpg,25050038-chain-healing.jpg,downloaded
Chain Hole,9581215,9581215,1,https://images.ygoprodeck.com/images/cards/9581215.jpg,9581215-chain-hole.jpg,downloaded
Chain Ignition,85893201,85893201,1,https://images.ygoprodeck.com/images/cards/85893201.jpg,85893201-chain-ignition.jpg,downloaded
Chain Material,39980304,39980304,1,https://images.ygoprodeck.com/images/cards/39980304.jpg,39980304-chain-material.jpg,downloaded
Chain Resonator,13764881,13764881,1,https://images.ygoprodeck.com/images/cards/13764881.jpg,13764881-chain-resonator.jpg,downloaded
